LOCKER_ID,USER_ID,USER_TYPE
0.0,0.0,D
1.0,1.0,D
2.0,3.0,D
3.0,4.0,D
4.0,5.0,D
5.0,6.0,D
6.0,7.0,D
7.0,10.0,D
8.0,11.0,D
9.0,13.0,D
10.0,14.0,D
11.0,15.0,D
12.0,16.0,D
13.0,17.0,D
14.0,19.0,D
15.0,21.0,D
16.0,22.0,D
17.0,23.0,D
18.0,25.0,D
19.0,27.0,D
20.0,28.0,D
21.0,29.0,D
22.0,30.0,D
23.0,31.0,D
24.0,32.0,D
25.0,33.0,D
26.0,34.0,D
27.0,35.0,D
28.0,36.0,D
29.0,37.0,D
30.0,38.0,D
31.0,39.0,D
32.0,40.0,D
33.0,41.0,D
34.0,42.0,D
35.0,45.0,D
36.0,46.0,D
37.0,47.0,D
38.0,49.0,D
39.0,50.0,D
40.0,51.0,D
41.0,52.0,D
42.0,53.0,D
43.0,54.0,D
44.0,55.0,D
45.0,56.0,D
46.0,57.0,D
47.0,58.0,D
48.0,59.0,D
49.0,60.0,D
50.0,62.0,D
51.0,63.0,D
52.0,64.0,D
53.0,65.0,D
54.0,66.0,D
55.0,70.0,D
56.0,71.0,D
57.0,72.0,D
58.0,74.0,D
59.0,76.0,D
60.0,77.0,D
61.0,78.0,D
62.0,80.0,D
63.0,81.0,D
64.0,82.0,D
65.0,83.0,D
66.0,85.0,D
67.0,86.0,D
68.0,88.0,D
69.0,89.0,D
70.0,90.0,D
71.0,91.0,D
72.0,92.0,D
73.0,93.0,D
74.0,94.0,D
75.0,95.0,D
76.0,100.0,D
77.0,101.0,D
78.0,102.0,D
79.0,103.0,D
80.0,104.0,D
81.0,105.0,D
82.0,106.0,D
83.0,107.0,D
84.0,109.0,D
85.0,110.0,D
86.0,111.0,D
87.0,112.0,D
88.0,114.0,D
89.0,115.0,D
90.0,118.0,D
91.0,119.0,D
92.0,120.0,D
93.0,122.0,D
94.0,124.0,D
95.0,125.0,D
96.0,126.0,D
97.0,127.0,D
98.0,128.0,D
99.0,130.0,D
100.0,131.0,D
101.0,132.0,D
102.0,135.0,D
103.0,136.0,D
104.0,138.0,D
105.0,139.0,D
106.0,140.0,D
107.0,141.0,D
108.0,142.0,D
109.0,144.0,D
110.0,145.0,D
111.0,146.0,D
112.0,147.0,D
113.0,148.0,D
114.0,149.0,D
115.0,150.0,D
116.0,151.0,D
117.0,153.0,D
118.0,154.0,D
119.0,155.0,D
120.0,156.0,D
121.0,158.0,D
122.0,159.0,D
123.0,160.0,D
124.0,161.0,D
125.0,162.0,D
126.0,164.0,D
127.0,165.0,D
128.0,166.0,D
129.0,167.0,D
130.0,168.0,D
131.0,169.0,D
132.0,171.0,D
133.0,172.0,D
134.0,173.0,D
135.0,174.0,D
136.0,175.0,D
137.0,176.0,D
138.0,177.0,D
139.0,178.0,D
140.0,180.0,D
141.0,181.0,D
142.0,182.0,D
143.0,183.0,D
144.0,184.0,D
145.0,185.0,D
146.0,186.0,D
147.0,187.0,D
148.0,188.0,D
149.0,189.0,D
150.0,190.0,D
151.0,191.0,D
152.0,192.0,D
153.0,193.0,D
154.0,195.0,D
155.0,196.0,D
156.0,197.0,D
157.0,198.0,D
158.0,200.0,D
159.0,201.0,D
160.0,203.0,D
161.0,204.0,D
162.0,205.0,D
163.0,208.0,D
164.0,209.0,D
165.0,210.0,D
166.0,212.0,D
167.0,213.0,D
168.0,214.0,D
169.0,215.0,D
170.0,216.0,D
171.0,218.0,D
172.0,219.0,D
173.0,220.0,D
174.0,221.0,D
175.0,224.0,D
176.0,225.0,D
177.0,228.0,D
178.0,229.0,D
179.0,231.0,D
180.0,232.0,D
181.0,234.0,D
182.0,235.0,D
183.0,238.0,D
184.0,240.0,D
185.0,242.0,D
186.0,243.0,D
187.0,244.0,D
188.0,245.0,D
189.0,246.0,D
190.0,247.0,D
191.0,248.0,D
192.0,253.0,D
193.0,254.0,D
194.0,255.0,D
